Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,2020-06-02,37.6,33.3,42,33.3 - 42.0,2020,May
By Education,Less than a high school diploma,2020-05-28,2020-06-02,31.9,28.6,35.4,28.6 - 35.4,2020,May
By Education,High school diploma or GED,2020-05-28,2020-06-02,27.8,26.3,29.5,26.3 - 29.5,2020,May
By Education,Some college/Associate's degree,2020-05-28,2020-06-02,27.8,26.7,29,26.7 - 29.0,2020,May
By Education,Bachelor's degree or higher,2020-05-28,2020-06-02,18.6,17.7,19.6,17.7 - 19.6,2020,May
National Estimate,United States,2020-05-28,2020-06-02,30.6,30,31.2,30.0 - 31.2,2020,May
By Age,18 - 29 years,2020-05-28,2020-06-02,42.2,40.5,43.9,40.5 - 43.9,2020,May
By Age,30 - 39 years,2020-05-28,2020-06-02,35.8,34.5,37.2,34.5 - 37.2,2020,May
By Age,40 - 49 years,2020-05-28,2020-06-02,32.1,30.6,33.6,30.6 - 33.6,2020,May
By Age,50 - 59 years,2020-05-28,2020-06-02,29.3,27.8,30.9,27.8 - 30.9,2020,May
By Age,60 - 69 years,2020-05-28,2020-06-02,23,21.6,24.4,21.6 - 24.4,2020,May
By Age,70 - 79 years,2020-05-28,2020-06-02,18.2,15.9,20.7,15.9 - 20.7,2020,May
By Age,80 years and above,2020-05-28,2020-06-02,13.3,9.6,17.8,9.6 - 17.8,2020,May
By Sex,Male,2020-05-28,2020-06-02,26,25.1,26.8,25.1 - 26.8,2020,May
By Sex,Female,2020-05-28,2020-06-02,35,34.3,35.8,34.3 - 35.8,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,2020-06-02,32.1,30.1,34.1,30.1 - 34.1,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,2020-06-02,29,28.2,29.8,28.2 - 29.8,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,2020-06-02,33.8,31.6,36.2,31.6 - 36.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,2020-06-02,28.4,25.3,31.7,25.3 - 31.7,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,2020-06-02,44.6,40.8,48.4,40.8 - 48.4,2020,May
By Education,Less than a high school diploma,2020-05-28,2020-06-02,37.8,34.2,41.5,34.2 - 41.5,2020,May
By Education,High school diploma or GED,2020-05-28,2020-06-02,31.4,29.8,32.9,29.8 - 32.9,2020,May
By Education,Some college/Associate's degree,2020-05-28,2020-06-02,32.8,31.7,33.9,31.7 - 33.9,2020,May
By Education,Bachelor's degree or higher,2020-05-28,2020-06-02,25.9,25.1,26.8,25.1 - 26.8,2020,May
National Estimate,United States,2020-05-28,2020-06-02,35.5,34.8,36.1,34.8 - 36.1,2020,May
By Age,18 - 29 years,2020-05-28,2020-06-02,49.3,47.4,51.2,47.4 - 51.2,2020,May
By Age,30 - 39 years,2020-05-28,2020-06-02,40.6,39.2,42,39.2 - 42.0,2020,May
By Age,40 - 49 years,2020-05-28,2020-06-02,36.9,35.3,38.6,35.3 - 38.6,2020,May
By Age,50 - 59 years,2020-05-28,2020-06-02,33.6,31.9,35.4,31.9 - 35.4,2020,May
By Age,60 - 69 years,2020-05-28,2020-06-02,27,25.6,28.5,25.6 - 28.5,2020,May
By Age,70 - 79 years,2020-05-28,2020-06-02,21.7,19.3,24.2,19.3 - 24.2,2020,May
By Age,80 years and above,2020-05-28,2020-06-02,19.2,14.7,24.4,14.7 - 24.4,2020,May
By Sex,Male,2020-05-28,2020-06-02,31.1,30.2,32.1,30.2 - 32.1,2020,May
By Sex,Female,2020-05-28,2020-06-02,39.6,38.9,40.3,38.9 - 40.3,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,2020-06-02,38.3,36.2,40.4,36.2 - 40.4,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,2020-06-02,33.1,32.3,33.9,32.3 - 33.9,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,2020-06-02,40.5,38.3,42.7,38.3 - 42.7,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,2020-06-02,34.2,31.6,37,31.6 - 37.0,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,2020-06-02,49.6,45.9,53.4,45.9 - 53.4,2020,May
By Education,Less than a high school diploma,2020-05-28,2020-06-02,43.9,40.4,47.5,40.4 - 47.5,2020,May
By Education,High school diploma or GED,2020-05-28,2020-06-02,36.7,35.1,38.3,35.1 - 38.3,2020,May
By Education,Some college/Associate's degree,2020-05-28,2020-06-02,38.3,37.2,39.4,37.2 - 39.4,2020,May
By Education,Bachelor's degree or higher,2020-05-28,2020-06-02,29.4,28.5,30.3,28.5 - 30.3,2020,May
National Estimate,United States,2020-06-04,2020-06-09,25.8,25,26.7,25.0 - 26.7,2020,Jun
By Age,18 - 29 years,2020-06-04,2020-06-09,37,34.3,39.7,34.3 - 39.7,2020,Jun
By Age,30 - 39 years,2020-06-04,2020-06-09,29.1,27.5,30.7,27.5 - 30.7,2020,Jun
By Age,40 - 49 years,2020-06-04,2020-06-09,27,25.5,28.6,25.5 - 28.6,2020,Jun
By Age,50 - 59 years,2020-06-04,2020-06-09,26,24.2,27.9,24.2 - 27.9,2020,Jun
By Age,60 - 69 years,2020-06-04,2020-06-09,19.8,18.1,21.7,18.1 - 21.7,2020,Jun
By Age,70 - 79 years,2020-06-04,2020-06-09,13.1,11.4,14.9,11.4 - 14.9,2020,Jun
By Age,80 years and above,2020-06-04,2020-06-09,12.3,8.2,17.6,8.2 - 17.6,2020,Jun
By Sex,Male,2020-06-04,2020-06-09,23.7,22.3,25.1,22.3 - 25.1,2020,Jun
By Sex,Female,2020-06-04,2020-06-09,27.8,26.8,28.8,26.8 - 28.8,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,2020-06-09,30.8,28.4,33.3,28.4 - 33.3,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,2020-06-09,23.9,22.9,24.8,22.9 - 24.8,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,2020-06-09,29.6,27.1,32.2,27.1 - 32.2,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,2020-06-09,19.8,16.7,23.2,16.7 - 23.2,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,2020-06-09,33.9,30.4,37.5,30.4 - 37.5,2020,Jun
By Education,Less than a high school diploma,2020-06-04,2020-06-09,37.1,33.3,40.9,33.3 - 40.9,2020,Jun
By Education,High school diploma or GED,2020-06-04,2020-06-09,27.6,25.8,29.6,25.8 - 29.6,2020,Jun
By Education,Some college/Associate's degree,2020-06-04,2020-06-09,28.2,26.8,29.7,26.8 - 29.7,2020,Jun
By Education,Bachelor's degree or higher,2020-06-04,2020-06-09,18.9,18.1,19.7,18.1 - 19.7,2020,Jun
National Estimate,United States,2020-06-04,2020-06-09,31.1,30.2,32.1,30.2 - 32.1,2020,Jun
By Age,18 - 29 years,2020-06-04,2020-06-09,41.7,39.2,44.4,39.2 - 44.4,2020,Jun
By Age,30 - 39 years,2020-06-04,2020-06-09,36.8,35,38.6,35.0 - 38.6,2020,Jun
By Age,40 - 49 years,2020-06-04,2020-06-09,34.9,33,36.9,33.0 - 36.9,2020,Jun
By Age,50 - 59 years,2020-06-04,2020-06-09,31.8,29.9,33.6,29.9 - 33.6,2020,Jun
By Age,60 - 69 years,2020-06-04,2020-06-09,22.3,20.4,24.3,20.4 - 24.3,2020,Jun
By Age,70 - 79 years,2020-06-04,2020-06-09,15.4,13.6,17.5,13.6 - 17.5,2020,Jun
By Age,80 years and above,2020-06-04,2020-06-09,13.7,9.4,19.1,9.4 - 19.1,2020,Jun
By Sex,Male,2020-06-04,2020-06-09,26.8,25.4,28.4,25.4 - 28.4,2020,Jun
By Sex,Female,2020-06-04,2020-06-09,35.1,34.1,36.1,34.1 - 36.1,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,2020-06-09,34,31.6,36.6,31.6 - 36.6,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,2020-06-09,29.6,28.7,30.6,28.7 - 30.6,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,2020-06-09,34.6,31.7,37.5,31.7 - 37.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,2020-06-09,25.6,21.9,29.5,21.9 - 29.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,2020-06-09,40.4,36,44.8,36.0 - 44.8,2020,Jun
By Education,Less than a high school diploma,2020-06-04,2020-06-09,36.9,33.6,40.4,33.6 - 40.4,2020,Jun
By Education,High school diploma or GED,2020-06-04,2020-06-09,31,28.9,33.1,28.9 - 33.1,2020,Jun
By Education,Some college/Associate's degree,2020-06-04,2020-06-09,33.6,32.2,35.1,32.2 - 35.1,2020,Jun
By Education,Bachelor's degree or higher,2020-06-04,2020-06-09,27.3,26.4,28.2,26.4 - 28.2,2020,Jun
National Estimate,United States,2020-06-04,2020-06-09,36.1,35.2,37,35.2 - 37.0,2020,Jun
By Age,18 - 29 years,2020-06-04,2020-06-09,49.3,46.8,51.8,46.8 - 51.8,2020,Jun
By Age,30 - 39 years,2020-06-04,2020-06-09,41.5,39.7,43.3,39.7 - 43.3,2020,Jun
By Age,40 - 49 years,2020-06-04,2020-06-09,39,37.2,40.9,37.2 - 40.9,2020,Jun
By Age,50 - 59 years,2020-06-04,2020-06-09,36,34,38.1,34.0 - 38.1,2020,Jun
By Age,60 - 69 years,2020-06-04,2020-06-09,27.4,25.4,29.5,25.4 - 29.5,2020,Jun
By Age,70 - 79 years,2020-06-04,2020-06-09,19,16.9,21.3,16.9 - 21.3,2020,Jun
By Age,80 years and above,2020-06-04,2020-06-09,18.6,13.9,24,13.9 - 24.0,2020,Jun
By Sex,Male,2020-06-04,2020-06-09,31.9,30.4,33.5,30.4 - 33.5,2020,Jun
By Sex,Female,2020-06-04,2020-06-09,40,39,41,39.0 - 41.0,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,2020-06-09,40.8,38.2,43.4,38.2 - 43.4,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,2020-06-09,34,33,35,33.0 - 35.0,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,2020-06-09,40,37.1,42.9,37.1 - 42.9,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,2020-06-09,29.2,25.5,33,25.5 - 33.0,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,2020-06-09,48.1,43.6,52.7,43.6 - 52.7,2020,Jun
By Education,Less than a high school diploma,2020-06-04,2020-06-09,44.7,41.2,48.2,41.2 - 48.2,2020,Jun
By Education,High school diploma or GED,2020-06-04,2020-06-09,36.8,34.7,38.8,34.7 - 38.8,2020,Jun
By Education,Some college/Associate's degree,2020-06-04,2020-06-09,39.3,37.8,40.7,37.8 - 40.7,2020,Jun
By Education,Bachelor's degree or higher,2020-06-04,2020-06-09,30.2,29.3,31.1,29.3 - 31.1,2020,Jun
National Estimate,United States,2020-06-11,2020-06-16,25.1,24.3,25.9,24.3 - 25.9,2020,Jun
By Age,18 - 29 years,2020-06-11,2020-06-16,36.8,33.9,39.7,33.9 - 39.7,2020,Jun
By Age,30 - 39 years,2020-06-11,2020-06-16,26.7,25.3,28.2,25.3 - 28.2,2020,Jun
By Age,40 - 49 years,2020-06-11,2020-06-16,25.9,24.1,27.6,24.1 - 27.6,2020,Jun
By Age,50 - 59 years,2020-06-11,2020-06-16,24.6,22.6,26.7,22.6 - 26.7,2020,Jun
By Age,60 - 69 years,2020-06-11,2020-06-16,19.6,18.1,21.2,18.1 - 21.2,2020,Jun
By Age,70 - 79 years,2020-06-11,2020-06-16,15.5,13.3,17.8,13.3 - 17.8,2020,Jun
By Age,80 years and above,2020-06-11,2020-06-16,9.9,6.8,13.7,6.8 - 13.7,2020,Jun
By Sex,Male,2020-06-11,2020-06-16,23.3,22.2,24.5,22.2 - 24.5,2020,Jun
By Sex,Female,2020-06-11,2020-06-16,26.7,25.8,27.7,25.8 - 27.7,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-11,2020-06-16,28.4,25.5,31.5,25.5 - 31.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-11,2020-06-16,23.5,22.6,24.6,22.6 - 24.6,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-11,2020-06-16,28.3,25.8,30.9,25.8 - 30.9,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-11,2020-06-16,21,16.9,25.5,16.9 - 25.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-11,2020-06-16,32.3,28.4,36.4,28.4 - 36.4,2020,Jun
By Education,Less than a high school diploma,2020-06-11,2020-06-16,31.4,27.7,35.3,27.7 - 35.3,2020,Jun
By Education,High school diploma or GED,2020-06-11,2020-06-16,27.5,25.6,29.5,25.6 - 29.5,2020,Jun
By Education,Some college/Associate's degree,2020-06-11,2020-06-16,28.4,26.9,29.9,26.9 - 29.9,2020,Jun
By Education,Bachelor's degree or higher,2020-06-11,2020-06-16,17.9,17,18.9,17.0 - 18.9,2020,Jun
National Estimate,United States,2020-06-11,2020-06-16,31.7,30.9,32.5,30.9 - 32.5,2020,Jun
By Age,18 - 29 years,2020-06-11,2020-06-16,42.9,40.1,45.7,40.1 - 45.7,2020,Jun
By Age,30 - 39 years,2020-06-11,2020-06-16,35.8,34.2,37.5,34.2 - 37.5,2020,Jun
By Age,40 - 49 years,2020-06-11,2020-06-16,34.8,32.9,36.8,32.9 - 36.8,2020,Jun
By Age,50 - 59 years,2020-06-11,2020-06-16,31.7,29.7,33.7,29.7 - 33.7,2020,Jun
By Age,60 - 69 years,2020-06-11,2020-06-16,23.6,21.9,25.3,21.9 - 25.3,2020,Jun
By Age,70 - 79 years,2020-06-11,2020-06-16,18,15.7,20.5,15.7 - 20.5,2020,Jun
By Age,80 years and above,2020-06-11,2020-06-16,14.6,11.3,18.5,11.3 - 18.5,2020,Jun
By Sex,Male,2020-06-11,2020-06-16,28.1,27,29.3,27.0 - 29.3,2020,Jun
By Sex,Female,2020-06-11,2020-06-16,35,34.1,36,34.1 - 36.0,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-11,2020-06-16,33.6,30.7,36.6,30.7 - 36.6,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-11,2020-06-16,30.6,29.6,31.6,29.6 - 31.6,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-11,2020-06-16,35.8,32.9,38.8,32.9 - 38.8,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-11,2020-06-16,26,21.8,30.5,21.8 - 30.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-11,2020-06-16,37.6,33.3,42.2,33.3 - 42.2,2020,Jun
By Education,Less than a high school diploma,2020-06-11,2020-06-16,37.7,33.6,41.9,33.6 - 41.9,2020,Jun
By Education,High school diploma or GED,2020-06-11,2020-06-16,32.5,30.6,34.5,30.6 - 34.5,2020,Jun
By Education,Some college/Associate's degree,2020-06-11,2020-06-16,34.5,33.1,36,33.1 - 36.0,2020,Jun
By Education,Bachelor's degree or higher,2020-06-11,2020-06-16,26.6,25.7,27.6,25.7 - 27.6,2020,Jun
National Estimate,United States,2020-06-11,2020-06-16,36,35.2,36.8,35.2 - 36.8,2020,Jun
By Age,18 - 29 years,2020-06-11,2020-06-16,48.7,45.5,51.8,45.5 - 51.8,2020,Jun
By Age,30 - 39 years,2020-06-11,2020-06-16,40.3,38.5,42.1,38.5 - 42.1,2020,Jun
By Age,40 - 49 years,2020-06-11,2020-06-16,38.4,36.5,40.2,36.5 - 40.2,2020,Jun
By Age,50 - 59 years,2020-06-11,2020-06-16,35.8,33.6,38,33.6 - 38.0,2020,Jun
By Age,60 - 69 years,2020-06-11,2020-06-16,27.7,26,29.4,26.0 - 29.4,2020,Jun
By Age,70 - 79 years,2020-06-11,2020-06-16,21.7,19.2,24.3,19.2 - 24.3,2020,Jun
By Age,80 years and above,2020-06-11,2020-06-16,17.6,13.4,22.4,13.4 - 22.4,2020,Jun
By Sex,Male,2020-06-11,2020-06-16,32.7,31.4,34,31.4 - 34.0,2020,Jun
By Sex,Female,2020-06-11,2020-06-16,39.1,38.1,40.1,38.1 - 40.1,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-11,2020-06-16,39.6,36.4,43,36.4 - 43.0,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-11,2020-06-16,34.3,33.3,35.3,33.3 - 35.3,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-11,2020-06-16,40,37,43,37.0 - 43.0,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-11,2020-06-16,29.9,25.7,34.4,25.7 - 34.4,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-11,2020-06-16,44.3,40,48.6,40.0 - 48.6,2020,Jun
By Education,Less than a high school diploma,2020-06-11,2020-06-16,43.7,39.7,47.8,39.7 - 47.8,2020,Jun
By Education,High school diploma or GED,2020-06-11,2020-06-16,37.4,35.3,39.5,35.3 - 39.5,2020,Jun
By Education,Some college/Associate's degree,2020-06-11,2020-06-16,39.3,37.7,40.9,37.7 - 40.9,2020,Jun
By Education,Bachelor's degree or higher,2020-06-11,2020-06-16,29.4,28.5,30.4,28.5 - 30.4,2020,Jun
National Estimate,United States,2020-06-18,2020-06-23,25.6,25,26.3,25.0 - 26.3,2020,Jun
By Age,18 - 29 years,2020-06-18,2020-06-23,36.7,34.4,39.1,34.4 - 39.1,2020,Jun
By Age,30 - 39 years,2020-06-18,2020-06-23,28.3,26.8,29.9,26.8 - 29.9,2020,Jun
By Age,40 - 49 years,2020-06-18,2020-06-23,26.2,25,27.5,25.0 - 27.5,2020,Jun
By Age,50 - 59 years,2020-06-18,2020-06-23,26,24.2,27.8,24.2 - 27.8,2020,Jun
By Age,60 - 69 years,2020-06-18,2020-06-23,19.3,17.8,20.8,17.8 - 20.8,2020,Jun
By Age,70 - 79 years,2020-06-18,2020-06-23,14.5,12.5,16.6,12.5 - 16.6,2020,Jun
By Age,80 years and above,2020-06-18,2020-06-23,10.8,7.2,15.4,7.2 - 15.4,2020,Jun
By Sex,Male,2020-06-18,2020-06-23,23.8,22.8,24.8,22.8 - 24.8,2020,Jun
By Sex,Female,2020-06-18,2020-06-23,27.3,26.4,28.3,26.4 - 28.3,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-18,2020-06-23,29,26.6,31.4,26.6 - 31.4,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-18,2020-06-23,24.2,23.5,25,23.5 - 25.0,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-18,2020-06-23,28.1,26,30.3,26.0 - 30.3,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-18,2020-06-23,20.1,17.4,23.1,17.4 - 23.1,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-18,2020-06-23,34.1,29.9,38.5,29.9 - 38.5,2020,Jun
By Education,Less than a high school diploma,2020-06-18,2020-06-23,31.4,28,34.9,28.0 - 34.9,2020,Jun
By Education,High school diploma or GED,2020-06-18,2020-06-23,28.8,27.3,30.3,27.3 - 30.3,2020,Jun
By Education,Some college/Associate's degree,2020-06-18,2020-06-23,28.6,27.3,29.8,27.3 - 29.8,2020,Jun
By Education,Bachelor's degree or higher,2020-06-18,2020-06-23,18.2,17.3,19,17.3 - 19.0,2020,Jun
National Estimate,United States,2020-06-18,2020-06-23,31.2,30.5,32,30.5 - 32.0,2020,Jun
By Age,18 - 29 years,2020-06-18,2020-06-23,42.8,40.4,45.2,40.4 - 45.2,2020,Jun
By Age,30 - 39 years,2020-06-18,2020-06-23,36,34.4,37.5,34.4 - 37.5,2020,Jun
By Age,40 - 49 years,2020-06-18,2020-06-23,34,32.4,35.7,32.4 - 35.7,2020,Jun
By Age,50 - 59 years,2020-06-18,2020-06-23,32.4,30.4,34.4,30.4 - 34.4,2020,Jun
By Age,60 - 69 years,2020-06-18,2020-06-23,23.1,21.3,24.9,21.3 - 24.9,2020,Jun
By Age,70 - 79 years,2020-06-18,2020-06-23,14.8,13.1,16.8,13.1 - 16.8,2020,Jun
By Age,80 years and above,2020-06-18,2020-06-23,11.4,7.9,15.8,7.9 - 15.8,2020,Jun
By Sex,Male,2020-06-18,2020-06-23,27.4,26.5,28.4,26.5 - 28.4,2020,Jun
By Sex,Female,2020-06-18,2020-06-23,34.8,33.9,35.8,33.9 - 35.8,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-18,2020-06-23,36.5,34,39.1,34.0 - 39.1,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-18,2020-06-23,29.8,29,30.5,29.0 - 30.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-18,2020-06-23,32.6,30.4,34.9,30.4 - 34.9,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-18,2020-06-23,23,20,26.2,20.0 - 26.2,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-18,2020-06-23,39.7,35.8,43.8,35.8 - 43.8,2020,Jun
By Education,Less than a high school diploma,2020-06-18,2020-06-23,36.6,33.3,39.9,33.3 - 39.9,2020,Jun
By Education,High school diploma or GED,2020-06-18,2020-06-23,32.7,31.1,34.4,31.1 - 34.4,2020,Jun
By Education,Some college/Associate's degree,2020-06-18,2020-06-23,33.7,32.1,35.2,32.1 - 35.2,2020,Jun
By Education,Bachelor's degree or higher,2020-06-18,2020-06-23,26,25,27,25.0 - 27.0,2020,Jun
National Estimate,United States,2020-06-18,2020-06-23,36.1,35.4,36.9,35.4 - 36.9,2020,Jun
By Age,18 - 29 years,2020-06-18,2020-06-23,50,47.6,52.4,47.6 - 52.4,2020,Jun
By Age,30 - 39 years,2020-06-18,2020-06-23,40.8,39.3,42.4,39.3 - 42.4,2020,Jun
By Age,40 - 49 years,2020-06-18,2020-06-23,38.5,37,40,37.0 - 40.0,2020,Jun
By Age,50 - 59 years,2020-06-18,2020-06-23,36.3,34.5,38.2,34.5 - 38.2,2020,Jun
By Age,60 - 69 years,2020-06-18,2020-06-23,27.4,25.7,29.1,25.7 - 29.1,2020,Jun
By Age,70 - 79 years,2020-06-18,2020-06-23,19.3,17.2,21.6,17.2 - 21.6,2020,Jun
By Age,80 years and above,2020-06-18,2020-06-23,14.6,10.8,19.2,10.8 - 19.2,2020,Jun
By Sex,Male,2020-06-18,2020-06-23,32.4,31.3,33.5,31.3 - 33.5,2020,Jun
By Sex,Female,2020-06-18,2020-06-23,39.6,38.6,40.7,38.6 - 40.7,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-18,2020-06-23,42.3,39.9,44.7,39.9 - 44.7,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-18,2020-06-23,34.1,33.3,34.9,33.3 - 34.9,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-18,2020-06-23,39.1,36.8,41.5,36.8 - 41.5,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-18,2020-06-23,27.8,24.4,31.4,24.4 - 31.4,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-18,2020-06-23,45.1,41.2,48.9,41.2 - 48.9,2020,Jun
By Education,Less than a high school diploma,2020-06-18,2020-06-23,43.6,39.9,47.3,39.9 - 47.3,2020,Jun
By Education,High school diploma or GED,2020-06-18,2020-06-23,38.1,36.5,39.6,36.5 - 39.6,2020,Jun
By Education,Some college/Associate's degree,2020-06-18,2020-06-23,39.1,37.6,40.7,37.6 - 40.7,2020,Jun
By Education,Bachelor's degree or higher,2020-06-18,2020-06-23,29.2,28.1,30.3,28.1 - 30.3,2020,Jun
National Estimate,United States,2020-06-25,2020-06-30,26.9,26.1,27.7,26.1 - 27.7,2020,Jun
By Age,18 - 29 years,2020-06-25,2020-06-30,36.6,34.4,38.8,34.4 - 38.8,2020,Jun
By Age,30 - 39 years,2020-06-25,2020-06-30,30.7,29.2,32.3,29.2 - 32.3,2020,Jun
By Age,40 - 49 years,2020-06-25,2020-06-30,27.7,26.3,29.2,26.3 - 29.2,2020,Jun
By Age,50 - 59 years,2020-06-25,2020-06-30,27.1,25.4,28.7,25.4 - 28.7,2020,Jun
By Age,60 - 69 years,2020-06-25,2020-06-30,20.5,19,22,19.0 - 22.0,2020,Jun
By Age,70 - 79 years,2020-06-25,2020-06-30,16.1,14.1,18.3,14.1 - 18.3,2020,Jun
By Age,80 years and above,2020-06-25,2020-06-30,15.2,10.8,20.5,10.8 - 20.5,2020,Jun
By Sex,Male,2020-06-25,2020-06-30,25,23.8,26.1,23.8 - 26.1,2020,Jun
By Sex,Female,2020-06-25,2020-06-30,28.8,27.7,29.8,27.7 - 29.8,2020,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-25,2020-06-30,31.1,29,33.2,29.0 - 33.2,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-25,2020-06-30,24.9,24.1,25.8,24.1 - 25.8,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-25,2020-06-30,30.9,28.6,33.2,28.6 - 33.2,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-25,2020-06-30,21.5,18.6,24.7,18.6 - 24.7,2020,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-25,2020-06-30,36.8,33.2,40.4,33.2 - 40.4,2020,Jun
By Education,Less than a high school diploma,2020-06-25,2020-06-30,37.1,33.2,41.2,33.2 - 41.2,2020,Jun
By Education,High school diploma or GED,2020-06-25,2020-06-30,28.7,27,30.5,27.0 - 30.5,2020,Jun
By Education,Some college/Associate's degree,2020-06-25,2020-06-30,30,28.9,31,28.9 - 31.0,2020,Jun
By Education,Bachelor's degree or higher,2020-06-25,2020-06-30,19.4,18.5,20.3,18.5 - 20.3,2020,Jun
National Estimate,United States,2020-06-25,2020-06-30,33,32.3,33.6,32.3 - 33.6,2020,Jun
By Age,18 - 29 years,2020-06-25,2020-06-30,42.4,40.5,44.4,40.5 - 44.4,2020,Jun
By Age,30 - 39 years,2020-06-25,2020-06-30,38.9,37.5,40.4,37.5 - 40.4,2020,Jun
By Age,40 - 49 years,2020-06-25,2020-06-30,35.4,33.7,37.2,33.7 - 37.2,2020,Jun
By Age,50 - 59 years,2020-06-25,2020-06-30,33.9,32.2,35.5,32.2 - 35.5,2020,Jun
